nRSU,rsu_idx,rsu_type,packets_tx,packets_rx,pdr_pct,avg_delay_ms,throughput_kbps
25,1,real,129,129,100,13,0.901765
25,2,real,129,129,100,13,1.14833
25,3,real,129,129,100,13,0.906655
25,4,virtual,129,129,100,13,0.901765
25,5,virtual,129,129,100,13,0.901765
25,6,virtual,129,129,100,13,0.901765
25,7,virtual,129,129,100,13,0.901765
25,8,virtual,129,129,100,13,0.901765
25,9,virtual,129,129,100,13,0.901765
25,10,virtual,129,129,100,13,0.901765
25,11,virtual,129,129,100,13,0.901765
25,12,virtual,129,129,100,13,0.901765
25,13,virtual,129,129,100,13,0.901765
25,14,virtual,129,129,100,13,0.901765
25,15,virtual,129,129,100,13,0.901765
25,16,virtual,129,129,100,13,0.901765
25,17,virtual,129,129,100,13,0.901765
25,18,virtual,129,129,100,13,0.901765
25,19,virtual,129,129,100,13,0.901765
25,20,virtual,129,129,100,13,0.901765
25,21,virtual,129,129,100,13,0.901765
25,22,virtual,129,129,100,13,0.901765
25,23,virtual,129,129,100,13,0.901765
25,24,virtual,129,129,100,13,0.901765
25,25,virtual,129,129,100,13,0.901765
