wall_timestamp,rsu_id,payload_bytes,seq
1786597216.857731,RSU_01,542,1
1786597216.873731,RSU_02,696,1
1786597216.900733,RSU_03,544,1
1786597221.949946,RSU_01,542,2
1786597221.958944,RSU_02,696,2
1786597221.976943,RSU_03,544,2
1786597227.041969,RSU_01,542,3
1786597227.046969,RSU_02,696,3
1786597227.082973,RSU_03,546,3
1786597232.133137,RSU_01,542,4
1786597232.140138,RSU_02,698,4
1786597232.167137,RSU_03,548,4
1786597237.277420,RSU_01,541,5
1786597237.358413,RSU_02,697,5
1786597237.388412,RSU_03,546,5
1786597242.661044,RSU_01,540,6
1786597242.913044,RSU_02,697,6
1786597243.432046,RSU_03,546,6
1786597249.590086,RSU_01,544,7
1786597249.628088,RSU_02,697,7
1786597249.688087,RSU_03,546,7
1786597254.784086,RSU_01,543,8
1786597254.817086,RSU_02,697,8
1786597254.894087,RSU_03,548,8
1786597260.170087,RSU_01,543,9
1786597260.219088,RSU_02,700,9
1786597260.271088,RSU_03,548,9
1786597265.731023,RSU_01,546,10
1786597266.025017,RSU_02,700,10
1786597266.516017,RSU_03,549,10
1786597272.278102,RSU_01,546,11
1786597272.355104,RSU_02,701,11
1786597272.452101,RSU_03,550,11
1786597277.620192,RSU_01,546,12
1786597277.653187,RSU_02,702,12
1786597277.715185,RSU_03,550,12
1786597282.831706,RSU_01,546,13
1786597282.864705,RSU_02,703,13
1786597282.917703,RSU_03,548,13
1786597288.127469,RSU_01,544,14
1786597288.163525,RSU_02,700,14
1786597288.226581,RSU_03,548,14
1786597293.451814,RSU_01,545,15
1786597293.483814,RSU_02,700,15
1786597293.534814,RSU_03,550,15
1786597298.682857,RSU_01,546,16
1786597298.714858,RSU_02,703,16
1786597298.807858,RSU_03,549,16
1786597303.954856,RSU_01,546,17
1786597303.994857,RSU_02,703,17
1786597304.055079,RSU_03,549,17
1786597309.410181,RSU_01,545,18
1786597309.441181,RSU_02,702,18
1786597309.490183,RSU_03,550,18
1786597314.692822,RSU_01,545,19
1786597314.773820,RSU_02,703,19
1786597314.865823,RSU_03,550,19
1786597319.992252,RSU_01,546,20
1786597320.085253,RSU_02,703,20
1786597320.183253,RSU_03,548,20
1786597325.518997,RSU_01,546,21
1786597325.584995,RSU_02,703,21
1786597325.758994,RSU_03,549,21
1786597330.962994,RSU_01,546,22
1786597331.006993,RSU_02,703,22
1786597331.058993,RSU_03,549,22
1786597336.180061,RSU_01,546,23
1786597336.234062,RSU_02,703,23
1786597336.295063,RSU_03,549,23
1786597341.494485,RSU_01,545,24
1786597341.606483,RSU_02,701,24
1786597341.794484,RSU_03,549,24
1786597347.021801,RSU_01,545,25
1786597347.167799,RSU_02,698,25
1786597347.233798,RSU_03,550,25
1786597352.416968,RSU_01,545,26
1786597352.484971,RSU_02,698,26
1786597352.578969,RSU_03,550,26
1786597357.795676,RSU_01,545,27
1786597357.860676,RSU_02,703,27
1786597357.974679,RSU_03,550,27
1786597363.205925,RSU_01,545,28
1786597363.258924,RSU_02,703,28
1786597363.325926,RSU_03,549,28
1786597368.539925,RSU_01,545,29
1786597368.586924,RSU_02,702,29
1786597368.718923,RSU_03,549,29
1786597373.899001,RSU_01,545,30
1786597373.944000,RSU_02,702,30
1786597374.007000,RSU_03,550,30
1786597379.323003,RSU_01,545,31
1786597379.424000,RSU_02,703,31
1786597379.519000,RSU_03,548,31
1786597384.755432,RSU_01,546,32
1786597384.789432,RSU_02,703,32
1786597384.861434,RSU_03,548,32
1786597390.450786,RSU_01,546,33
1786597390.514786,RSU_02,702,33
1786597390.627786,RSU_03,550,33
1786597395.828897,RSU_01,546,34
1786597395.865893,RSU_02,701,34
1786597395.958894,RSU_03,550,34
1786597401.264939,RSU_01,546,35
1786597401.328937,RSU_02,698,35
1786597401.409939,RSU_03,547,35
1786597406.680032,RSU_01,544,36
1786597406.714026,RSU_02,700,36
1786597406.791028,RSU_03,547,36
1786597412.023884,RSU_01,544,37
1786597412.057884,RSU_02,702,37
1786597412.146885,RSU_03,550,37
1786597417.292709,RSU_01,546,38
1786597417.339710,RSU_02,703,38
1786597417.402709,RSU_03,550,38
1786597422.537968,RSU_01,546,39
1786597422.571967,RSU_02,703,39
1786597422.632967,RSU_03,547,39
1786597427.858570,RSU_01,544,40
1786597428.047572,RSU_02,700,40
1786597429.182568,RSU_03,547,40
1786597434.512769,RSU_01,544,41
1786597434.562771,RSU_02,699,41
1786597434.636770,RSU_03,549,41
1786597439.871950,RSU_01,546,42
1786597440.482951,RSU_02,699,42
1786597440.652949,RSU_03,549,42
1786597445.896594,RSU_01,546,43
1786597445.942594,RSU_02,703,43
1786597446.022596,RSU_03,549,43
1786597451.383880,RSU_01,546,44
1786597451.463397,RSU_02,703,44
1786597451.573402,RSU_03,549,44
1786597456.856738,RSU_01,546,45
1786597456.938735,RSU_02,702,45
1786597457.050736,RSU_03,549,45
