wall_timestamp,cam_id,rsu_id,payload_bytes,seq
1786597176.808936,CAM_06,RSU_03,155,1
1786597177.219935,CAM_07,RSU_03,155,1
1786597177.932565,CAM_01,RSU_01,155,1
1786597178.379686,CAM_02,RSU_01,155,1
1786597178.768346,CAM_03,RSU_02,155,1
1786597179.161948,CAM_04,RSU_02,155,1
1786597179.547033,CAM_05,RSU_02,154,1
1786597179.925688,CAM_06,RSU_03,155,2
1786597180.271780,CAM_07,RSU_03,154,2
1786597180.890828,CAM_01,RSU_01,155,2
1786597181.561943,CAM_02,RSU_01,155,2
1786597181.957720,CAM_03,RSU_02,155,2
1786597182.322236,CAM_04,RSU_02,155,2
1786597182.674270,CAM_05,RSU_02,154,2
1786597183.003909,CAM_06,RSU_03,155,3
1786597183.345906,CAM_07,RSU_03,155,3
1786597183.910908,CAM_01,RSU_01,155,3
1786597184.244770,CAM_02,RSU_01,155,3
1786597184.568811,CAM_03,RSU_02,155,3
1786597184.892840,CAM_04,RSU_02,155,3
1786597185.222841,CAM_05,RSU_02,155,3
1786597185.545421,CAM_06,RSU_03,155,4
1786597185.877972,CAM_07,RSU_03,156,4
1786597187.034054,CAM_01,RSU_01,155,4
1786597187.461707,CAM_02,RSU_01,155,4
1786597187.800222,CAM_03,RSU_02,155,4
1786597188.122797,CAM_04,RSU_02,155,4
1786597188.453831,CAM_05,RSU_02,154,4
1786597188.810833,CAM_06,RSU_03,154,5
1786597189.147927,CAM_07,RSU_03,157,5
1786597189.765949,CAM_01,RSU_01,155,5
1786597190.101690,CAM_02,RSU_01,154,5
1786597190.420732,CAM_03,RSU_02,155,5
1786597190.757733,CAM_04,RSU_02,155,5
1786597191.095731,CAM_05,RSU_02,155,5
1786597191.465246,CAM_06,RSU_03,155,6
1786597191.803358,CAM_07,RSU_03,157,6
1786597192.317939,CAM_01,RSU_01,155,6
1786597192.870039,CAM_02,RSU_01,155,6
1786597193.219156,CAM_03,RSU_02,155,6
1786597193.570696,CAM_04,RSU_02,155,6
1786597194.297770,CAM_05,RSU_02,154,6
1786597194.697769,CAM_06,RSU_03,155,7
1786597195.042803,CAM_07,RSU_03,157,7
1786597195.727868,CAM_01,RSU_01,155,7
1786597196.064926,CAM_02,RSU_01,155,7
1786597196.428485,CAM_03,RSU_02,155,7
1786597196.783010,CAM_04,RSU_02,155,7
1786597197.323048,CAM_05,RSU_02,155,7
1786597197.685202,CAM_06,RSU_03,155,8
1786597198.032784,CAM_07,RSU_03,157,8
1786597198.732366,CAM_01,RSU_01,155,8
1786597199.241921,CAM_02,RSU_01,155,8
1786597199.937920,CAM_03,RSU_02,155,8
1786597201.382922,CAM_04,RSU_02,155,8
1786597201.780188,CAM_05,RSU_02,155,8
1786597202.186760,CAM_06,RSU_03,155,9
1786597202.516317,CAM_07,RSU_03,157,9
1786597203.098456,CAM_01,RSU_01,155,9
1786597203.475487,CAM_02,RSU_01,155,9
1786597203.799595,CAM_03,RSU_02,155,9
1786597204.121182,CAM_04,RSU_02,155,9
1786597204.458727,CAM_05,RSU_02,154,9
1786597204.771870,CAM_06,RSU_03,156,10
1786597205.153387,CAM_07,RSU_03,158,10
1786597206.036701,CAM_01,RSU_01,156,10
1786597206.497870,CAM_02,RSU_01,156,10
1786597206.845959,CAM_03,RSU_02,155,10
1786597207.192033,CAM_04,RSU_02,156,10
1786597207.530153,CAM_05,RSU_02,155,10
1786597207.850698,CAM_06,RSU_03,156,11
1786597208.184904,CAM_07,RSU_03,158,11
1786597208.757988,CAM_01,RSU_01,156,11
1786597209.109155,CAM_02,RSU_01,156,11
1786597209.436155,CAM_03,RSU_02,156,11
1786597209.778210,CAM_04,RSU_02,155,11
1786597210.193751,CAM_05,RSU_02,155,11
1786597211.053788,CAM_06,RSU_03,156,12
1786597211.491349,CAM_07,RSU_03,158,12
1786597212.134711,CAM_01,RSU_01,156,12
1786597212.665432,CAM_02,RSU_01,156,12
1786597213.027029,CAM_03,RSU_02,155,12
1786597213.413663,CAM_04,RSU_02,155,12
1786597213.814559,CAM_05,RSU_02,156,12
1786597214.159696,CAM_06,RSU_03,156,13
1786597214.621852,CAM_07,RSU_03,158,13
1786597215.238986,CAM_01,RSU_01,156,13
1786597215.570058,CAM_02,RSU_01,156,13
1786597216.100113,CAM_03,RSU_02,156,13
1786597216.436112,CAM_04,RSU_02,156,13
1786597216.816732,CAM_05,RSU_02,156,13
1786597217.233738,CAM_06,RSU_03,156,14
1786597217.585797,CAM_07,RSU_03,158,14
1786597218.274796,CAM_01,RSU_01,156,14
1786597218.672679,CAM_02,RSU_01,156,14
1786597219.033724,CAM_03,RSU_02,156,14
1786597219.395236,CAM_04,RSU_02,156,14
1786597219.779235,CAM_05,RSU_02,156,14
1786597220.107393,CAM_06,RSU_03,156,15
1786597220.455981,CAM_07,RSU_03,158,15
1786597221.091091,CAM_01,RSU_01,155,15
1786597221.431740,CAM_02,RSU_01,156,15
1786597221.797906,CAM_03,RSU_02,156,15
1786597222.163078,CAM_04,RSU_02,156,15
